fk_customer,channel,partner,device,first_sale_number,age,gender,state,expected_delivery_date,delivered_date,first_sale_date,second_sale_date,has_marketplace,has_crossdocking,has_private_label,has_brands,gmv
26472205,ORGANIC,FACEBOOK,M+T SITE,87332994,21,male,sao paulo,20180319,20180320,20180303,20190707,0,0,1,0,129.90
36089951,AFFILIATES - LOYALTY PROGRAMS,MULTIPLUS ACUMULO,DESKTOP,4473722175,32,female,são paulo,20190911,20190911,20190907,,0,0,0,0,309.98
5210313,SEM BRAND,GOOGLE,DESKTOP,78333454,24,male,minas gerais,20180426,20180425,20180422,,0,0,0,1,219.78
25803953,EXCHANGED,EXCHANGED,M+T SITE,92217544,21,female,minas gerais,20180126,20180122,20180112,20180210,0,0,1,1,149.97
36450576,SEM BRAND,GOOGLE,DESKTOP,4474540131,47,female,minas gerais,20191009,20191007,20191002,20191002,0,0,0,1,264.98
26642878,COMPARISON,GOOGLE,M+T SITE,24164984,28,female,rio grande do sul,20180406,20180327,20180321,,0,0,1,1,454.58
28852270,CRM - EMAIL,EMAIL MARKETING,APP ANDROID,4460831194,45,female,são paulo,20180914,20180906,20180903,,0,0,0,1,324.69
25902922,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,39183344,32,female,sao paulo,20180126,20180125,20180117,,0,0,0,1,119.99
34163506,ORGANIC,GOOGLE,DESKTOP,4469986519,37,female,são paulo,20190531,20190531,20190529,20190529,1,0,0,1,228.50
30961485,SEM BRAND,GOOGLE,DESKTOP,4465482321,32,female,são paulo,20190116,20190115,20190110,,0,0,0,1,198.00
26763036,CRM - EMAIL,GOOGLE,DESKTOP,29461474,32,female,são paulo,20180418,20180420,20180405,20180828,1,0,0,0,209.70
28667178,REFERRAL,CUPONOMIA,DESKTOP,4463827965,19,female,pernambuco,20181220,20181207,20181123,,0,0,0,1,76.99
34762121,FACEBOOKADS - STATIC,FACEBOOK,M+T SITE,4470973459,30,male,são paulo,20190627,20190626,20190624,,0,0,0,0,199.00
13867324,CRM - EMAIL,TRANSACTIONAL,M+T SITE,4469897541,32,female,distrito federal,20190604,20190531,20190527,,0,0,0,1,248.90
27353319,CRM - EMAIL,AUTOMATED,DESKTOP,92571714,72,male,rio grande do sul,20180611,20180606,20180517,20181019,0,0,1,1,124.89
26324345,CRM - EMAIL,EMAIL MARKETING,APP ANDROID,91474564,39,female,minas gerais,20180228,20180223,20180218,20180218,1,0,0,1,224.89
33262285,REFERRAL,CUPONATION,M+T SITE,4469373712,23,male,bahia,20190529,20190521,20190514,,0,0,0,1,224.98
32488941,COMPARISON,GOOGLE,M+T SITE,4468861091,29,female,são paulo,20190507,20190503,20190429,,0,0,0,1,249.90
28680558,SEM BRAND,GOOGLE,DESKTOP,2018179,36,female,alagoas,20180911,20180917,20180818,,0,0,0,1,244.97
26383963,FACEBOOKADS - APP,FACEBOOK,APP IOS,68334694,45,female,sao paulo,20180306,20180306,20180301,20181016,0,0,1,0,204.69
1917379,CRM - EMAIL,TRANSACTIONAL,DESKTOP,4470201313,35,female,amazonas,20190612,20190611,20190603,,0,0,0,1,159.99
29313207,FACEBOOKADS - APP,FACEBOOK,APP IOS,4468498326,29,female,rio de janeiro,20190430,20190430,20190417,,0,0,0,0,209.99
32539784,REMARKETING,CRITEO,DESKTOP,4469223089,31,female,minas gerais,,20190521,20190509,,1,0,0,0,129.90
30331672,FACEBOOKADS - UPPER FUNNEL,FACEBOOK,M+T SITE,4464193821,44,female,são paulo,20181211,20181207,20181129,20181207,0,0,0,1,90.99
33929762,EXCHANGED,EXCHANGED,DESKTOP,4469673037,25,female,rio de janeiro,20190603,20190527,20190521,20190622,0,0,0,1,199.00
35623612,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4472698411,71,female,rio grande do sul,20190816,20190814,20190808,20190808,1,0,0,1,134.89
32369524,ORGANIC,GOOGLE,DESKTOP,4468671107,59,female,são paulo,20190424,20190426,20190423,,0,0,1,0,134.99
30167226,SEM NON-BRAND,GOOGLE,M+T SITE,4463936599,38,female,são paulo,20181206,20181203,20181124,,0,0,1,1,109.98
